ori,ucr_agency_name,city_name,county_fips_code,state_code,state_postal_abbr
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0620500,VONORE,Vonore,123,41,TN
TN0620500,VONORE,Vonore,123,41,TN
TN0620500,VONORE,Vonore,123,41,TN
TN0620500,VONORE,Vonore,123,41,TN
TN0620500,VONORE,Vonore,123,41,TN
TN0620500,VONORE,Vonore,123,41,TN
TN0620500,VONORE,Vonore,123,41,TN
TN0620500,VONORE,Vonore,123,41,TN
TN0620500,VONORE,Vonore,123,41,TN
TN0620500,VONORE,Vonore,123,41,TN
TN0620500,VONORE,Vonore,123,41,TN
TN0620500,VONORE,Vonore,123,41,TN
TN0620500,VONORE,Vonore,123,41,TN
TN0620500,VONORE,Vonore,123,41,TN
TN0620500,VONORE,Vonore,123,41,TN
TN0620500,VONORE,Vonore,123,41,TN
TN0620500,VONORE,Vonore,123,41,TN
TN0620500,VONORE,Vonore,123,41,TN
TN0620500,VONORE,Vonore,123,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
